Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,timelimit,reset,
25,1645450349734,21/02/2022 13:32:29,1645450352580,1,21/02/2022 14:32:32,73265,15,task-3l6b,,19641617,BLIND,5823435,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1280x720,1280x569,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,28,6,3,Screen 3,advancementZone,timelimit_screen,999.9110000000001,,,,,0,1,0,,,1,,1,demonstration,8000,250,
26,1645450349956,21/02/2022 13:32:29,1645450352829,1,21/02/2022 14:32:32,73265,15,task-3l6b,,19641617,BLIND,5823435,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1280x720,1280x569,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,28,6,5,end,Zone1,timelimit_screen,249.90899999999965,,,,,0,1,0,,,1,,1,demonstration,8000,250,
27,1645450359963,21/02/2022 13:32:39,1645450362828,1,21/02/2022 14:32:42,73265,15,task-3l6b,,19641617,BLIND,5823435,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1280x720,1280x569,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,30,7,1,Screen 1,Zone1,timelimit_screen,9999.022000000004,,,,,0,1,0,,,1,,1,demonstration,10000,250,
28,1645450360342,21/02/2022 13:32:40,1645450363205,1,21/02/2022 14:32:43,73265,15,task-3l6b,,19641617,BLIND,5823435,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1280x720,1280x569,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,30,7,2,Screen 2,advancementZone,response_keyboard_single,366.3000000715256,,,spacebar,1,0,1,0,,,,,1,demonstration,10000,250,
29,1645450361329,21/02/2022 13:32:41,1645450364195,1,21/02/2022 14:32:44,73265,15,task-3l6b,,19641617,BLIND,5823435,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1280x720,1280x569,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,30,7,3,Screen 3,advancementZone,timelimit_screen,999.9270000000033,,,,,0,1,0,,,1,,1,demonstration,10000,250,
30,1645450361572,21/02/2022 13:32:41,1645450364445,1,21/02/2022 14:32:44,73265,15,task-3l6b,,19641617,BLIND,5823435,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1280x720,1280x569,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,30,7,5,end,Zone1,timelimit_screen,249.73099999999977,,,,,0,1,0,,,1,,1,demonstration,10000,250,
31,1645450370147,21/02/2022 13:32:50,1645450371445,1,21/02/2022 14:32:51,73265,15,task-3l6b,,19641617,BLIND,5823435,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1280x720,1280x569,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,21,8,1,Screen 1,Zone1,timelimit_screen,6999.347000000002,,,,,0,1,0,,,1,,1,demonstration,7000,250,
32,1645450370211,21/02/2022 13:32:50,1645450371885,1,21/02/2022 14:32:51,73265,15,task-3l6b,,19641617,BLIND,5823435,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1280x720,1280x569,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,21,8,2,Screen 2,advancementZone,response_keyboard_single,429,,,spacebar,1,0,1,0,,,,,1,demonstration,7000,250,
33,1645450370211,21/02/2022 13:32:50,1645450372877,1,21/02/2022 14:32:52,73265,15,task-3l6b,,19641617,BLIND,5823435,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1280x720,1280x569,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,21,8,3,Screen 3,advancementZone,timelimit_screen,999.7969999999987,,,,,0,1,0,,,1,,1,demonstration,7000,250,
34,1645450370288,21/02/2022 13:32:50,1645450373128,1,21/02/2022 14:32:53,73265,15,task-3l6b,,19641617,BLIND,5823435,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1280x720,1280x569,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,21,8,5,end,Zone1,timelimit_screen,250.30999999999767,,,,,0,1,0,,,1,,1,demonstration,7000,250,
35,1645450372256,21/02/2022 13:32:52,1645450375127,1,21/02/2022 14:32:55,73265,15,task-3l6b,,19641617,BLIND,5823435,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1280x720,1280x569,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,12,9,1,Screen 1,Zone1,timelimit_screen,1999.774000000005,,,,,0,1,0,,,1,,1,demonstration,2000,250,
36,1645450372717,21/02/2022 13:32:52,1645450375583,1,21/02/2022 14:32:55,73265,15,task-3l6b,,19641617,BLIND,5823435,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1280x720,1280x569,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,12,9,2,Screen 2,advancementZone,response_keyboard_single,444.60000002384186,,,spacebar,1,0,1,0,,,,,1,demonstration,2000,250,
