Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Reaction Time,Stimulus,Key Press,Test Part,Correct Response,Trial Type,Trial Index,Time Elapsed,Internal Node ID,Correct,accuracy_pic_trial,accuracy,trial_dur,match,accuracy_color_trial,prop_correct,minutes,,accuracy_percentage,phase,correct_resp,correct_response
12,1647007470216,11/03/2022 14:04:30,1647007470131,1,11/03/2022 15:04:30,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,,/task/320432/9/asset/green.png,,,,image-keyboard-response,11,48274,0.0-2.0-2.4,,,1,1680,,1,0.8699999999999999,0.2612833333333333,,,test,,
13,1647007471922,11/03/2022 14:04:31,1647007471844,1,11/03/2022 15:04:31,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,661.2999999523163,/task/320432/9/asset/truck.jpg,,,f,image-keyboard-response,12,49987,0.0-2.0-0.5,,1,1,1710,,,0.8545454545454546,,,,test,,f
14,1647007473672,11/03/2022 14:04:33,1647007473588,1,11/03/2022 15:04:33,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,497.09999990463257,/task/320432/9/asset/green.png,,, ,image-keyboard-response,13,51732,0.0-2.0-2.5,,,1,1740,1,1,0.8916666666666666,0.3189,,,test,, 
15,1647007475457,11/03/2022 14:04:35,1647007475362,1,11/03/2022 15:04:35,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,546.6000001430511,/task/320432/9/asset/pear.jpg,,,j,image-keyboard-response,14,53506,0.0-2.0-0.6,,1,1,1770,,,0.8769230769230769,,,,test,,j
16,1647007477250,11/03/2022 14:04:37,1647007477168,1,11/03/2022 15:04:37,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,420.60000014305115,/task/320432/9/asset/green.png,,, ,image-keyboard-response,15,55312,0.0-2.0-2.6,,,1,1800,1,1,0.9071428571428571,0.37856666666666666,,,test,, 
17,1647007479181,11/03/2022 14:04:39,1647007479002,1,11/03/2022 15:04:39,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,601.7000000476837,/task/320432/9/asset/truck.jpg,,,f,image-keyboard-response,16,57146,0.0-2.0-0.7,,1,1,1830,,,0.8933333333333332,,,,test,,f
18,1647007480947,11/03/2022 14:04:40,1647007480867,1,11/03/2022 15:04:40,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,,/task/320432/9/asset/pink.png,,,,image-keyboard-response,17,59010,0.0-2.0-2.7,,,1,1860,,1,0.91875,0.44021666666666665,,,test,,
19,1647007482839,11/03/2022 14:04:42,1647007482761,1,11/03/2022 15:04:42,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,527.1000001430511,/task/320432/9/asset/house.jpg,,,f,image-keyboard-response,18,60904,0.0-2.1-0.8,,1,1,1890,,,0.9058823529411765,,,,test,,f
20,1647007484853,11/03/2022 14:04:44,1647007484688,1,11/03/2022 15:04:44,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,,/task/320432/9/asset/red.png,,,,image-keyboard-response,19,62832,0.0-2.1-2.8,,,1,1920,,1,0.9277777777777779,0.5039,,,test,,
21,1647007487335,11/03/2022 14:04:47,1647007486642,1,11/03/2022 15:04:46,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,675.2000000476837,/task/320432/9/asset/glass.jpg,,,j,image-keyboard-response,20,64785,0.0-2.1-0.9,,1,1,1950,,,0.9157894736842105,,,,test,,j
