Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,timelimit,reset,
135,1644954657665,15/02/2022 19:50:57,1644954656819,1,15/02/2022 20:50:56,73265,15,task-dt2v,,19475581,BLIND,5768209,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x754,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,34,34,2,Screen 2,advancementZone,response_keyboard_single,382.20000000298023,,,spacebar,1,0,1,0,,,,,1,demonstration,4000,250,
136,1644954658452,15/02/2022 19:50:58,1644954657813,1,15/02/2022 20:50:57,73265,15,task-dt2v,,19475581,BLIND,5768209,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x754,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,34,34,3,Screen 3,advancementZone,timelimit_screen,1000.0569999999716,,,,,0,1,0,,,1,,1,demonstration,4000,250,
137,1644954660828,15/02/2022 19:51:00,1644954658063,1,15/02/2022 20:50:58,73265,15,task-dt2v,,19475581,BLIND,5768209,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x754,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,34,34,5,end,Zone1,timelimit_screen,249.92300000000978,,,,,0,1,0,,,1,,1,demonstration,4000,250,
138,1644954661718,15/02/2022 19:51:01,1644954661063,1,15/02/2022 20:51:01,73265,15,task-dt2v,,19475581,BLIND,5768209,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x754,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,5,35,1,Screen 1,Zone1,timelimit_screen,2999.9400000000314,,,,,0,1,0,,,1,,1,demonstration,3000,250,
139,1644954662062,15/02/2022 19:51:02,1644954661398,1,15/02/2022 20:51:01,73265,15,task-dt2v,,19475581,BLIND,5768209,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x754,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,5,35,2,Screen 2,advancementZone,response_keyboard_single,329.1000000014901,,,spacebar,1,0,1,0,,,,,1,demonstration,3000,250,
140,1644954663033,15/02/2022 19:51:03,1644954662396,1,15/02/2022 20:51:02,73265,15,task-dt2v,,19475581,BLIND,5768209,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x754,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,5,35,3,Screen 3,advancementZone,timelimit_screen,999.905999999959,,,,,0,1,0,,,1,,1,demonstration,3000,250,
141,1644954663299,15/02/2022 19:51:03,1644954662646,1,15/02/2022 20:51:02,73265,15,task-dt2v,,19475581,BLIND,5768209,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x754,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,5,35,5,end,Zone1,timelimit_screen,250.18499999999767,,,,,0,1,0,,,1,,1,demonstration,3000,250,
142,1644954665326,15/02/2022 19:51:05,1644954664647,1,15/02/2022 20:51:04,73265,15,task-dt2v,,19475581,BLIND,5768209,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x754,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,2,36,1,Screen 1,Zone1,timelimit_screen,2000.012000000046,,,,,0,1,0,,,1,,1,demonstration,2000,250,
143,1644954665628,15/02/2022 19:51:05,1644954664964,1,15/02/2022 20:51:04,73265,15,task-dt2v,,19475581,BLIND,5768209,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x754,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,2,36,2,Screen 2,advancementZone,response_keyboard_single,311.40000000596046,,,spacebar,1,0,1,0,,,,,1,demonstration,2000,250,
144,1644954666613,15/02/2022 19:51:06,1644954665963,1,15/02/2022 20:51:05,73265,15,task-dt2v,,19475581,BLIND,5768209,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x754,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,2,36,3,Screen 3,advancementZone,timelimit_screen,1000.2139999999781,,,,,0,1,0,,,1,,1,demonstration,2000,250,
