Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,timelimit,reset,
80,1645027399739,16/02/2022 16:03:19,1645027385325,1,16/02/2022 17:03:05,73265,15,task-5too,,19500388,BLIND,5767834,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1280x720,1280x601,Part 1 completed,PVT-2,9,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,19,20,2,Screen 2,advancementZone,response_keyboard_single,337.30000000004657,,,spacebar,1,0,1,0,,,,,1,demonstration,9000,250,
81,1645027400756,16/02/2022 16:03:20,1645027386318,1,16/02/2022 17:03:06,73265,15,task-5too,,19500388,BLIND,5767834,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1280x720,1280x601,Part 1 completed,PVT-2,9,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,19,20,3,Screen 3,advancementZone,timelimit_screen,999.5129999999917,,,,,0,1,0,,,1,,1,demonstration,9000,250,
82,1645027400985,16/02/2022 16:03:20,1645027386567,1,16/02/2022 17:03:06,73265,15,task-5too,,19500388,BLIND,5767834,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1280x720,1280x601,Part 1 completed,PVT-2,9,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,19,20,5,end,Zone1,timelimit_screen,249.7569999999978,,,,,0,1,0,,,1,,1,demonstration,9000,250,
83,1645027409982,16/02/2022 16:03:29,1645027395561,1,16/02/2022 17:03:15,73265,15,task-5too,,19500388,BLIND,5767834,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1280x720,1280x601,Part 1 completed,PVT-2,9,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,9,21,1,Screen 1,Zone1,timelimit_screen,8992.626000000018,,,,,0,1,0,,,1,,1,demonstration,9000,250,
84,1645027410341,16/02/2022 16:03:30,1645027395918,1,16/02/2022 17:03:15,73265,15,task-5too,,19500388,BLIND,5767834,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1280x720,1280x601,Part 1 completed,PVT-2,9,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,9,21,2,Screen 2,advancementZone,response_keyboard_single,345.69999999995343,,,spacebar,1,0,1,0,,,,,1,demonstration,9000,250,
85,1645027411341,16/02/2022 16:03:31,1645027396909,1,16/02/2022 17:03:16,73265,15,task-5too,,19500388,BLIND,5767834,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1280x720,1280x601,Part 1 completed,PVT-2,9,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,9,21,3,Screen 3,advancementZone,timelimit_screen,999.4400000000023,,,,,0,1,0,,,1,,1,demonstration,9000,250,
86,1645027411577,16/02/2022 16:03:31,1645027397159,1,16/02/2022 17:03:17,73265,15,task-5too,,19500388,BLIND,5767834,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1280x720,1280x601,Part 1 completed,PVT-2,9,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,9,21,5,end,Zone1,timelimit_screen,249.79300000000512,,,,,0,1,0,,,1,,1,demonstration,9000,250,
87,1645027419597,16/02/2022 16:03:39,1645027405157,1,16/02/2022 17:03:25,73265,15,task-5too,,19500388,BLIND,5767834,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1280x720,1280x601,Part 1 completed,PVT-2,9,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,28,22,1,Screen 1,Zone1,timelimit_screen,7993.121000000014,,,,,0,1,0,,,1,,1,demonstration,8000,250,
88,1645027419924,16/02/2022 16:03:39,1645027405495,1,16/02/2022 17:03:25,73265,15,task-5too,,19500388,BLIND,5767834,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1280x720,1280x601,Part 1 completed,PVT-2,9,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,28,22,2,Screen 2,advancementZone,response_keyboard_single,328.5,,,spacebar,1,0,1,0,,,,,1,demonstration,8000,250,
89,1645027420916,16/02/2022 16:03:40,1645027406492,1,16/02/2022 17:03:26,73265,15,task-5too,,19500388,BLIND,5767834,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1280x720,1280x601,Part 1 completed,PVT-2,9,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,28,22,3,Screen 3,advancementZone,timelimit_screen,999.2149999999965,,,,,0,1,0,,,1,,1,demonstration,8000,250,
