Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Reaction Time,Stimulus,Key Press,Test Part,Correct Response,Trial Type,Trial Index,Time Elapsed,Internal Node ID,Correct,match,phase,correct_resp,prop_correct,accuracy_color_trial,minutes
11,1645127508946,17/02/2022 19:51:48,1645127508907,1,17/02/2022 20:51:48,73265,15,task-nzlp,,19550015,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x862,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,,/task/320040/6/asset/blue.png,,,,image-keyboard-response,10,23816,0.0-1.0-1.4,,,test,,0.7222222222222222,1,0.13438333333333333
12,1645127509053,17/02/2022 19:51:49,1645127509011,1,17/02/2022 20:51:49,73265,15,task-nzlp,,19550015,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x862,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,11,23921,0.0-1.0-0.5,,,,,,,
13,1645127510568,17/02/2022 19:51:50,1645127510524,1,17/02/2022 20:51:50,73265,15,task-nzlp,,19550015,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x862,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,435,/task/320040/6/asset/blue.png,,,,image-keyboard-response,12,25434,0.0-1.0-1.5,,1,test, ,0.7090909090909091,1,0.16133333333333333
14,1645127510665,17/02/2022 19:51:50,1645127510629,1,17/02/2022 20:51:50,73265,15,task-nzlp,,19550015,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x862,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,13,25539,0.0-1.0-0.6,,,,,,,
15,1645127512180,17/02/2022 19:51:52,1645127512146,1,17/02/2022 20:51:52,73265,15,task-nzlp,,19550015,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x862,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,,/task/320040/6/asset/black.png,,,,image-keyboard-response,14,27056,0.0-1.0-1.6,,,test,,0.7,1,0.18836666666666665
16,1645127512290,17/02/2022 19:51:52,1645127512249,1,17/02/2022 20:51:52,73265,15,task-nzlp,,19550015,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x862,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,15,27159,0.0-1.0-0.7,,,,,,,
17,1645127513794,17/02/2022 19:51:53,1645127513755,1,17/02/2022 20:51:53,73265,15,task-nzlp,,19550015,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x862,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,430,/task/320040/6/asset/black.png,,,,image-keyboard-response,16,28664,0.0-1.0-1.7,,1,test, ,0.6933333333333334,1,0.21518333333333334
1,1647900597675,21/03/2022 22:09:57,1647900594938,1,21/03/2022 23:09:54,73265,15,task-nzlp,,20636050,BLIND,6099386,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x722,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,11538.299999952316,,,,,instructions,0,11542,0.0-0.0,,,,,,,
2,1647900597758,21/03/2022 22:09:57,1647900595060,1,21/03/2022 23:09:55,73265,15,task-nzlp,,20636050,BLIND,6099386,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x722,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,1,11665,0.0-1.0-0.0,,,,,,,
3,1647900599243,21/03/2022 22:09:59,1647900596566,1,21/03/2022 23:09:56,73265,15,task-nzlp,,20636050,BLIND,6099386,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x722,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,,/task/320040/6/asset/white.png,,,,image-keyboard-response,2,13170,0.0-1.0-1.0,,1,test, ,0,,0.02715
