Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,timelimit,reset,
47,1647003333283,11/03/2022 12:55:33,1647003331221,1,11/03/2022 13:55:31,73265,15,task-jmi7,,20299017,BLIND,6021035,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x722,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,35,12,1,Screen 1,Zone1,timelimit_screen,3001.1649999999936,,,,,0,1,0,,,1,,1,demonstration,3000,250,
48,1647003333665,11/03/2022 12:55:33,1647003331559,1,11/03/2022 13:55:31,73265,15,task-jmi7,,20299017,BLIND,6021035,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x722,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,35,12,2,Screen 2,advancementZone,response_keyboard_single,330.5999999999767,,,spacebar,1,0,1,0,,,,,1,demonstration,3000,250,
49,1647003334628,11/03/2022 12:55:34,1647003332555,1,11/03/2022 13:55:32,73265,15,task-jmi7,,20299017,BLIND,6021035,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x722,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,35,12,3,Screen 3,advancementZone,timelimit_screen,1000.3620000000083,,,,,0,1,0,,,1,,1,demonstration,3000,250,
50,1647003334883,11/03/2022 12:55:34,1647003332805,1,11/03/2022 13:55:32,73265,15,task-jmi7,,20299017,BLIND,6021035,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x722,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,35,12,5,end,Zone1,timelimit_screen,250.2039999999979,,,,,0,1,0,,,1,,1,demonstration,3000,250,
51,1647003335871,11/03/2022 12:55:35,1647003333805,1,11/03/2022 13:55:33,73265,15,task-jmi7,,20299017,BLIND,6021035,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x722,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,13,13,1,Screen 1,Zone1,timelimit_screen,1000.2630000000063,,,,,0,1,0,,,1,,1,demonstration,1000,250,
52,1647003336261,11/03/2022 12:55:36,1647003334198,1,11/03/2022 13:55:34,73265,15,task-jmi7,,20299017,BLIND,6021035,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x722,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,13,13,2,Screen 2,advancementZone,response_keyboard_single,386,,,spacebar,1,0,1,0,,,,,1,demonstration,1000,250,
53,1647003337250,11/03/2022 12:55:37,1647003335189,1,11/03/2022 13:55:35,73265,15,task-jmi7,,20299017,BLIND,6021035,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x722,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,13,13,3,Screen 3,advancementZone,timelimit_screen,1000.3530000000028,,,,,0,1,0,,,1,,1,demonstration,1000,250,
54,1647003337654,11/03/2022 12:55:37,1647003335439,1,11/03/2022 13:55:35,73265,15,task-jmi7,,20299017,BLIND,6021035,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x722,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,13,13,5,end,Zone1,timelimit_screen,250.0920000000042,,,,,0,1,0,,,1,,1,demonstration,1000,250,
55,1647003345512,11/03/2022 12:55:45,1647003343442,1,11/03/2022 13:55:43,73265,15,task-jmi7,,20299017,BLIND,6021035,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x722,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,8,14,1,Screen 1,Zone1,timelimit_screen,8002.9909999999945,,,,,0,1,0,,,1,,1,demonstration,8000,250,
56,1647003345855,11/03/2022 12:55:45,1647003343778,1,11/03/2022 13:55:43,73265,15,task-jmi7,,20299017,BLIND,6021035,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x722,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,8,14,2,Screen 2,advancementZone,response_keyboard_single,330.5999999999767,,,spacebar,1,0,1,0,,,,,1,demonstration,8000,250,
57,1647003346840,11/03/2022 12:55:46,1647003344775,1,11/03/2022 13:55:44,73265,15,task-jmi7,,20299017,BLIND,6021035,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x722,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,8,14,3,Screen 3,advancementZone,timelimit_screen,999.976999999999,,,,,0,1,0,,,1,,1,demonstration,8000,250,
58,1647003347090,11/03/2022 12:55:47,1647003345026,1,11/03/2022 13:55:45,73265,15,task-jmi7,,20299017,BLIND,6021035,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x722,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,8,14,5,end,Zone1,timelimit_screen,250.06599999999162,,,,,0,1,0,,,1,,1,demonstration,8000,250,
59,1647003351105,11/03/2022 12:55:51,1647003349028,1,11/03/2022 13:55:49,73265,15,task-jmi7,,20299017,BLIND,6021035,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x722,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,14,15,1,Screen 1,Zone1,timelimit_screen,4001.75,,,,,0,1,0,,,1,,1,demonstration,4000,250,
