Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,timelimit,reset,
1,1644937497973,15/02/2022 15:04:57,1644937503173,1,15/02/2022 16:05:03,73265,15,task-6xhv,,19464135,BLIND,5768707,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14324.80.0,Chrome 97.0.4692.102,1080x675,1620x786,Part 1 completed,PVT-2,9,Part 1 completed,,Accuracy_level_1,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1644937502191,15/02/2022 15:05:02,1644937507399,1,15/02/2022 16:05:07,73265,15,task-6xhv,,19464135,BLIND,5768707,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14324.80.0,Chrome 97.0.4692.102,1080x675,1620x786,Part 1 completed,PVT-2,9,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,4097.29999999702,,,,,0,1,0,,,,,,instructions,,,
3,1644937505169,15/02/2022 15:05:05,1644937510380,1,15/02/2022 16:05:10,73265,15,task-6xhv,,19464135,BLIND,5768707,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14324.80.0,Chrome 97.0.4692.102,1080x675,1620x786,Part 1 completed,PVT-2,9,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,35,1,1,Screen 1,Zone1,timelimit_screen,3004.781000000001,,,,,0,1,0,,,1,,1,demonstration,3000,250,
4,1644937505607,15/02/2022 15:05:05,1644937510814,1,15/02/2022 16:05:10,73265,15,task-6xhv,,19464135,BLIND,5768707,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14324.80.0,Chrome 97.0.4692.102,1080x675,1620x786,Part 1 completed,PVT-2,9,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,35,1,2,Screen 2,advancementZone,response_keyboard_single,409.30000000074506,,,spacebar,1,0,1,0,,,,,1,demonstration,3000,250,
5,1644937506582,15/02/2022 15:05:06,1644937511806,1,15/02/2022 16:05:11,73265,15,task-6xhv,,19464135,BLIND,5768707,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14324.80.0,Chrome 97.0.4692.102,1080x675,1620x786,Part 1 completed,PVT-2,9,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,35,1,3,Screen 3,advancementZone,timelimit_screen,1001.6569999999992,,,,,0,1,0,,,1,,1,demonstration,3000,250,
6,1644937506841,15/02/2022 15:05:06,1644937512055,1,15/02/2022 16:05:12,73265,15,task-6xhv,,19464135,BLIND,5768707,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14324.80.0,Chrome 97.0.4692.102,1080x675,1620x786,Part 1 completed,PVT-2,9,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,35,1,5,end,Zone1,timelimit_screen,250.42799999999988,,,,,0,1,0,,,1,,1,demonstration,3000,250,
7,1644937507848,15/02/2022 15:05:07,1644937513059,1,15/02/2022 16:05:13,73265,15,task-6xhv,,19464135,BLIND,5768707,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14324.80.0,Chrome 97.0.4692.102,1080x675,1620x786,Part 1 completed,PVT-2,9,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,33,2,1,Screen 1,Zone1,timelimit_screen,1001.648000000001,,,,,0,1,0,,,1,,1,demonstration,1000,250,
8,1644937508373,15/02/2022 15:05:08,1644937513580,1,15/02/2022 16:05:13,73265,15,task-6xhv,,19464135,BLIND,5768707,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14324.80.0,Chrome 97.0.4692.102,1080x675,1620x786,Part 1 completed,PVT-2,9,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,33,2,2,Screen 2,advancementZone,response_keyboard_single,482.9000000022352,,,spacebar,1,0,1,0,,,,,1,demonstration,1000,250,
9,1644937509379,15/02/2022 15:05:09,1644937514576,1,15/02/2022 16:05:14,73265,15,task-6xhv,,19464135,BLIND,5768707,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14324.80.0,Chrome 97.0.4692.102,1080x675,1620x786,Part 1 completed,PVT-2,9,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,33,2,3,Screen 3,advancementZone,timelimit_screen,1001.7240000000002,,,,,0,1,0,,,1,,1,demonstration,1000,250,
10,1644937509629,15/02/2022 15:05:09,1644937514828,1,15/02/2022 16:05:14,73265,15,task-6xhv,,19464135,BLIND,5768707,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14324.80.0,Chrome 97.0.4692.102,1080x675,1620x786,Part 1 completed,PVT-2,9,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,33,2,5,end,Zone1,timelimit_screen,250.512999999999,,,,,0,1,0,,,1,,1,demonstration,1000,250,
