Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Reaction Time,Stimulus,Key Press,Test Part,Correct Response,Trial Type,Trial Index,Time Elapsed,Internal Node ID,Correct,match,phase,correct_resp,prop_correct,accuracy_color_trial,minutes
1,1644485949932,10/02/2022 09:39:09,1644485950266,1,10/02/2022 10:39:10,73265,15,task-2gi1,,19331151,BLIND,5735237,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 97.0.4692.99,1440x900,1440x789,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,12022.100000023842,,,,,instructions,0,12034,0.0-0.0,,,,,,,
2,1644485950019,10/02/2022 09:39:10,1644485950376,1,10/02/2022 10:39:10,73265,15,task-2gi1,,19331151,BLIND,5735237,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 97.0.4692.99,1440x900,1440x789,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,1,12145,0.0-1.0-0.0,,,,,,,
3,1644485951488,10/02/2022 09:39:11,1644485951883,1,10/02/2022 10:39:11,73265,15,task-2gi1,,19331151,BLIND,5735237,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 97.0.4692.99,1440x900,1440x789,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,,/task/320040/6/asset/blue.png,,,,image-keyboard-response,2,13651,0.0-1.0-1.0,,1,test, ,0,,0.02695
4,1644485951588,10/02/2022 09:39:11,1644485951987,1,10/02/2022 10:39:11,73265,15,task-2gi1,,19331151,BLIND,5735237,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 97.0.4692.99,1440x900,1440x789,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,3,13756,0.0-1.0-0.1,,,,,,,
5,1644485953105,10/02/2022 09:39:13,1644485953496,1,10/02/2022 10:39:13,73265,15,task-2gi1,,19331151,BLIND,5735237,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 97.0.4692.99,1440x900,1440x789,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,461.2999999523163,/task/320040/6/asset/blue.png,,,,image-keyboard-response,4,15264,0.0-1.0-1.1,,1,test, ,0.43333333333333335,1,0.05383333333333333
6,1644485953198,10/02/2022 09:39:13,1644485953600,1,10/02/2022 10:39:13,73265,15,task-2gi1,,19331151,BLIND,5735237,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 97.0.4692.99,1440x900,1440x789,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,5,15369,0.0-1.0-0.2,,,,,,,
7,1644485954699,10/02/2022 09:39:14,1644485955109,1,10/02/2022 10:39:15,73265,15,task-2gi1,,19331151,BLIND,5735237,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 97.0.4692.99,1440x900,1440x789,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,795.8999999761581,/task/320040/6/asset/blue.png,,,,image-keyboard-response,6,16878,0.0-1.0-1.2,,1,test, ,0.52,1,0.08071666666666667
8,1644485954825,10/02/2022 09:39:14,1644485955212,1,10/02/2022 10:39:15,73265,15,task-2gi1,,19331151,BLIND,5735237,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 97.0.4692.99,1440x900,1440x789,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,7,16981,0.0-1.0-0.3,,,,,,,
9,1644485956358,10/02/2022 09:39:16,1644485956723,1,10/02/2022 10:39:16,73265,15,task-2gi1,,19331151,BLIND,5735237,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 97.0.4692.99,1440x900,1440x789,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,598,/task/320040/6/asset/blue.png,,,,image-keyboard-response,8,18492,0.0-1.0-1.3,,1,test, ,0.5571428571428572,1,0.10761666666666667
10,1644485956483,10/02/2022 09:39:16,1644485956828,1,10/02/2022 10:39:16,73265,15,task-2gi1,,19331151,BLIND,5735237,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 97.0.4692.99,1440x900,1440x789,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,9,18597,0.0-1.0-0.4,,,,,,,
